                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.76305,                0.92107,                0.58982,                0.93554,                0.87668,                0.78226,                0.86783,                0.71559,                0.87356,                0.77974,                0.86214,                0.63522,                0.76275,                0.88304,                0.53912,                0.92954,             0.00026303,             0.00026303,             0.00026303
                     26,                0.76636,                0.92566,                0.57293,                0.92897,                0.88961,                0.82083,                0.86775,                0.71324,                0.88515,                0.81597,                0.85807,                0.63469,                0.77685,                0.89509,                 0.5505,                0.93315,             0.00025961,             0.00025961,             0.00025961
                     27,                0.75887,                0.91881,                0.57485,                 0.9303,                0.88197,                0.79686,                0.87028,                0.71506,                0.87977,                0.79387,                0.86186,                0.63003,                0.77096,                0.89796,                0.53963,                0.93707,              0.0002562,              0.0002562,              0.0002562
                     28,                 0.7525,                0.91403,                0.55725,                 0.9301,                0.88198,                0.82273,                0.87404,                0.71982,                0.87923,                0.82045,                0.86873,                0.64816,                0.74501,                0.88679,                0.53132,                0.92267,             0.00025278,             0.00025278,             0.00025278
                     29,                0.74965,                 0.9127,                0.54871,                0.93253,                0.90116,                 0.8299,                0.88397,                0.72753,                0.89855,                0.82756,                0.87562,                0.64603,                0.74638,                0.89301,                0.52163,                0.92233,             0.00024937,             0.00024937,             0.00024937
                     30,                0.74019,                0.90044,                0.54147,                0.92299,                0.89361,                0.82985,                0.88151,                0.73082,                0.89211,                0.82462,                0.87402,                0.65141,                0.75236,                0.87861,                0.50377,                0.92444,             0.00024595,             0.00024595,             0.00024595
                     31,                0.73531,                 0.8972,                0.54343,                0.92555,                0.90106,                0.82736,                0.88833,                0.73561,                0.89944,                0.82425,                0.88412,                0.65658,                0.73402,                0.87099,                0.50516,                0.92082,             0.00024253,             0.00024253,             0.00024253
                     32,                0.73431,                0.89891,                0.52837,                0.92381,                0.88448,                0.80868,                0.88323,                0.72903,                0.87599,                 0.8011,                0.87359,                0.64381,                0.75005,                0.89058,                0.50049,                 0.9254,             0.00023912,             0.00023912,             0.00023912
                     33,                0.72679,                0.89248,                 0.5254,                0.92168,                0.88779,                0.82582,                 0.8834,                0.72851,                0.88588,                0.82019,                0.87473,                0.63845,                0.73903,                0.87714,                0.48514,                0.91934,              0.0002357,              0.0002357,              0.0002357
                     34,                0.73119,                0.88671,                0.50785,                0.91859,                0.91828,                0.83587,                0.89412,                0.74173,                0.91625,                0.83376,                0.88708,                0.65072,                 0.7394,                0.87118,                0.48924,                0.92218,             0.00023229,             0.00023229,             0.00023229
                     35,                0.72321,                0.87945,                0.50812,                0.91831,                 0.9111,                0.84366,                0.89189,                0.73982,                 0.9067,                0.83787,                0.88409,                0.65968,                0.72677,                0.85909,                0.49358,                0.91298,             0.00022887,             0.00022887,             0.00022887
                     36,                0.72049,                0.86491,                 0.5063,                0.91734,                 0.9038,                0.83924,                0.89414,                0.74321,                0.89926,                0.83535,                0.88875,                0.65752,                0.72686,                0.86352,                0.48638,                0.91261,             0.00022546,             0.00022546,             0.00022546
                     37,                0.71106,                0.86939,                0.50539,                0.91552,                0.91722,                0.83344,                0.89433,                0.74105,                0.91242,                0.82784,                0.88607,                 0.6519,                0.72794,                0.85612,                0.47495,                0.91275,             0.00022204,             0.00022204,             0.00022204
                     38,                0.70858,                0.85929,                0.49065,                0.91096,                0.93245,                0.82324,                0.89327,                0.74158,                0.92728,                0.81708,                0.88681,                0.65787,                0.72968,                0.86454,                0.49258,                0.90705,             0.00021863,             0.00021863,             0.00021863
                     39,                0.70918,                0.85711,                0.48956,                0.91227,                0.92644,                0.82073,                0.89376,                0.74562,                0.93097,                0.81553,                0.88454,                0.65628,                0.72484,                0.85418,                0.46974,                0.90583,             0.00021521,             0.00021521,             0.00021521
                     40,                0.70044,                0.85089,                0.47569,                0.90979,                0.92554,                0.83738,                0.90424,                0.75915,                0.92188,                0.83535,                0.89661,                0.66588,                 0.7221,                0.84735,                0.45401,                 0.9103,              0.0002118,              0.0002118,              0.0002118
                     41,                0.70123,                0.85613,                0.47584,                0.90941,                0.90438,                0.85485,                0.90109,                0.75181,                0.92589,                 0.8226,                0.89222,                0.66447,                0.71871,                0.85486,                0.46221,                0.91066,             0.00020838,             0.00020838,             0.00020838
                     42,                0.69564,                 0.8496,                0.47416,                0.91063,                0.91027,                0.84584,                0.89994,                0.75879,                 0.9067,                0.83967,                 0.8916,                0.67243,                0.71022,                0.85629,                0.46433,                0.90335,             0.00020496,             0.00020496,             0.00020496
                     43,                0.69003,                0.84827,                0.46238,                0.90337,                0.93278,                0.85161,                0.90378,                 0.7603,                0.92741,                0.84577,                0.89662,                0.67356,                 0.7164,                0.86203,                0.45412,                0.90965,             0.00020155,             0.00020155,             0.00020155
                     44,                0.69056,                0.83908,                0.45974,                0.90202,                0.92187,                0.85452,                0.90946,                0.76049,                0.91761,                0.84778,                0.89862,                0.66939,                0.70855,                0.85356,                0.45656,                0.90113,             0.00019813,             0.00019813,             0.00019813
                     45,                0.68408,                0.83019,                 0.4558,                 0.9041,                0.92934,                0.86308,                0.90772,                0.76458,                0.92403,                0.85651,                0.89647,                 0.6761,                0.71472,                0.85132,                0.45293,                0.90815,             0.00019472,             0.00019472,             0.00019472
                     46,                0.68243,                0.83793,                0.45283,                0.90223,                0.92793,                0.85901,                0.90516,                0.76365,                0.92584,                0.85336,                0.90003,                0.67981,                0.70305,                0.85218,                0.44703,                0.89972,              0.0001913,              0.0001913,              0.0001913
                     47,                0.68015,                0.83002,                0.44609,                0.90156,                0.91056,                0.86192,                0.91501,                0.77089,                0.90351,                0.85499,                0.90375,                0.68252,                0.70028,                0.84949,                0.44455,                0.89967,             0.00018789,             0.00018789,             0.00018789
                     48,                0.67262,                0.82501,                0.44623,                0.90377,                0.92568,                0.85903,                0.91211,                 0.7714,                0.93078,                0.84524,                0.90393,                 0.6816,                0.70503,                0.85167,                0.44421,                0.90392,             0.00018447,             0.00018447,             0.00018447
                     49,                0.66686,                0.82169,                0.43629,                0.90072,                0.93052,                0.86074,                0.91025,                0.77169,                0.92247,                0.85372,                 0.8997,                0.67908,                0.70326,                0.84583,                0.44064,                0.89929,             0.00018106,             0.00018106,             0.00018106
                     50,                0.67597,                0.81854,                0.43905,                0.90159,                0.92677,                0.86948,                 0.9119,                0.76944,                0.92605,                0.85936,                 0.9031,                0.68178,                0.70145,                0.84939,                0.43473,                0.89565,             0.00017764,             0.00017764,             0.00017764
                     51,                0.66464,                0.82086,                0.43166,                0.89799,                0.91178,                0.86439,                0.90924,                0.77336,                0.92187,                0.84947,                0.90079,                 0.6859,                 0.6976,                0.85182,                0.44452,                0.89576,             0.00017422,             0.00017422,             0.00017422
                     52,                0.65655,                0.80282,                0.41911,                0.89512,                0.93786,                0.85516,                0.91398,                0.77527,                0.94095,                 0.8449,                0.90686,                0.68784,                0.69279,                0.85517,                0.43464,                0.89501,             0.00017081,             0.00017081,             0.00017081
                     53,                0.65421,                0.80972,                0.41327,                0.89331,                0.92596,                0.86031,                0.91112,                0.77054,                0.92122,                0.85477,                0.90128,                0.68156,                 0.6934,                 0.8433,                0.43424,                0.89657,             0.00016739,             0.00016739,             0.00016739
                     54,                0.65092,                0.79414,                0.41387,                0.89316,                0.93218,                0.85184,                0.91491,                0.77534,                0.92618,                 0.8451,                0.90379,                0.68688,                0.69051,                0.83964,                0.42872,                0.89706,             0.00016398,             0.00016398,             0.00016398
                     55,                0.65006,                0.79425,                0.41371,                0.89422,                0.92542,                0.86081,                0.90651,                0.76973,                0.91779,                0.85144,                0.89734,                0.68067,                 0.6868,                0.84228,                0.43806,                0.89509,             0.00016056,             0.00016056,             0.00016056
                     56,                0.64948,                 0.8061,                0.41257,                 0.8916,                0.93841,                0.85016,                0.90883,                0.77509,                0.93454,                0.84388,                0.90002,                 0.6785,                 0.6846,                 0.8409,                0.43021,                0.89279,             0.00015715,             0.00015715,             0.00015715
                     57,                0.64323,                 0.7905,                0.40481,                0.89123,                0.93547,                 0.8558,                0.90937,                0.77814,                0.92693,                0.84524,                0.89834,                0.68322,                0.67895,                0.85289,                0.42496,                0.88602,             0.00015373,             0.00015373,             0.00015373
                     58,                0.63695,                0.78685,                0.40153,                 0.8922,                 0.9431,                0.85932,                 0.9121,                0.77974,                0.93488,                0.85166,                0.90047,                0.68839,                0.68014,                0.84748,                0.42956,                0.89055,             0.00015032,             0.00015032,             0.00015032
                     59,                0.63862,                 0.7785,                0.40033,                0.88997,                0.93446,                0.85578,                0.91135,                0.78047,                0.93722,                0.84866,                0.90517,                0.68823,                0.67981,                0.83909,                 0.4242,                0.89152,              0.0001469,              0.0001469,              0.0001469
                     60,                0.63434,                0.78026,                0.39433,                0.88557,                 0.9427,                0.85415,                0.91324,                0.77928,                0.93857,                0.84737,                0.90075,                0.68504,                0.68362,                0.83704,                0.42505,                0.89269,             0.00014349,             0.00014349,             0.00014349
                     61,                0.62953,                0.77807,                0.39576,                0.88675,                0.93261,                0.86853,                0.91497,                0.78062,                0.92784,                0.86278,                0.90585,                0.69573,                 0.6827,                0.83297,                0.42368,                0.89329,             0.00014007,             0.00014007,             0.00014007
                     62,                0.62958,                0.77862,                0.39274,                0.88692,                0.93125,                0.86078,                0.91477,                0.78099,                0.92768,                0.85619,                0.90487,                 0.6883,                0.67852,                0.83828,                0.42893,                0.89265,             0.00013665,             0.00013665,             0.00013665
                     63,                0.63061,                0.77691,                0.38545,                0.88401,                0.93487,                0.86563,                0.91803,                0.78542,                 0.9292,                0.86031,                0.90707,                0.69205,                0.67524,                0.83427,                0.41764,                0.88773,             0.00013324,             0.00013324,             0.00013324
                     64,                0.62455,                0.76396,                0.38646,                0.88504,                0.93749,                0.86774,                0.92006,                0.78971,                  0.934,                0.86464,                0.91175,                0.69614,                0.67592,                0.84749,                0.41532,                0.88863,             0.00012982,             0.00012982,             0.00012982
                     65,                0.62264,                0.76964,                0.38068,                0.88304,                0.92631,                0.86814,                0.91646,                0.78998,                0.93982,                0.84751,                0.90578,                0.69542,                0.66794,                0.83708,                0.41715,                0.88604,             0.00012641,             0.00012641,             0.00012641
                     66,                0.61862,                0.75552,                0.37663,                0.88215,                0.94817,                 0.8641,                0.91466,                0.78493,                0.94017,                0.85657,                0.90624,                0.69439,                0.67352,                0.83961,                0.42007,                 0.8832,             0.00012299,             0.00012299,             0.00012299
                     67,                0.61466,                0.76012,                0.37373,                0.88074,                 0.9455,                0.85684,                 0.9156,                0.78745,                0.93696,                0.84783,                0.90261,                0.69013,                 0.6744,                0.83767,                0.41877,                0.88397,             0.00011958,             0.00011958,             0.00011958
                     68,                0.61214,                0.75848,                0.37183,                0.87929,                 0.9394,                0.86254,                0.91724,                0.79045,                0.93672,                0.85927,                0.90908,                 0.6968,                0.66686,                0.83374,                0.40584,                0.88518,             0.00011616,             0.00011616,             0.00011616
                     69,                 0.6094,                0.75278,                0.36765,                0.87667,                 0.9453,                0.86664,                0.92141,                0.79087,                0.94704,                0.86022,                0.91319,                 0.7001,                0.66514,                0.83439,                0.41055,                0.88138,             0.00011275,             0.00011275,             0.00011275
                     70,                 0.6034,                0.75162,                0.36109,                0.87706,                0.95241,                0.84956,                0.91636,                0.78919,                0.94901,                0.84592,                 0.9092,                0.69907,                0.66091,                0.84278,                0.40538,                0.88306,             0.00010933,             0.00010933,             0.00010933
                     71,                0.60387,                0.74646,                0.36193,                0.87719,                0.93953,                 0.8683,                0.92027,                0.78971,                0.93446,                0.86217,                0.91162,                 0.6972,                0.66703,                0.84192,                0.40535,                0.88643,             0.00010592,             0.00010592,             0.00010592
                     72,                0.60068,                0.74832,                0.36036,                0.87853,                0.94885,                0.86936,                0.92127,                 0.7914,                0.94479,                0.86147,                0.91054,                0.69661,                0.66557,                0.84644,                0.40501,                0.88404,              0.0001025,              0.0001025,              0.0001025
                     73,                0.59572,                 0.7429,                0.35179,                  0.875,                0.94163,                0.87192,                0.92141,                0.79289,                0.93335,                0.86055,                0.90904,                0.69917,                0.66089,                0.84206,                0.40386,                0.88506,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     74,                 0.5928,                0.74053,                0.35125,                0.87372,                0.92671,                0.88243,                 0.9195,                0.79297,                0.92492,                0.88052,                0.91174,                 0.6977,                   0.66,                0.83211,                0.40247,                0.88279,             9.5669e-05,             9.5669e-05,             9.5669e-05
                     75,                0.59475,                0.74383,                0.34994,                0.87224,                 0.9487,                 0.8651,                0.91848,                 0.7936,                0.94775,                0.85998,                0.91124,                0.69694,                0.65675,                0.83857,                0.40405,                0.88121,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     76,                0.58951,                0.73111,                0.34809,                0.87307,                0.93725,                0.86502,                0.91562,                0.79365,                0.94144,                0.85628,                0.90845,                 0.6984,                0.65476,                0.83846,                0.41337,                0.87803,             8.8837e-05,             8.8837e-05,             8.8837e-05
                     77,                0.58739,                0.74621,                0.34943,                0.87241,                0.93692,                0.86772,                0.91492,                0.79004,                0.93761,                 0.8618,                0.91068,                0.70024,                0.65299,                0.83301,                0.41141,                0.88053,             8.5422e-05,             8.5422e-05,             8.5422e-05
