                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2198,                 1.6201,                 1.0936,                0.85817,                0.58967,                0.31749,                0.35419,                0.24854,                0.57408,                0.28648,                0.30971,                0.18686,                 1.3441,                 1.6975,                 1.2872,                0.86604,             0.00024173,             0.00024173,             0.00024173
                     25,                 1.2466,                  1.607,                 1.0876,                0.86345,                0.55685,                0.34648,                0.37463,                0.26614,                0.57102,                0.28903,                0.33019,                0.20091,                 1.3428,                 1.6851,                 1.2691,                0.86111,             0.00023863,             0.00023863,             0.00023863
                     26,                 1.2583,                 1.6442,                 1.0877,                0.86661,                0.54778,                0.34895,                0.38405,                0.27068,                0.50818,                 0.3217,                 0.3402,                0.21271,                  1.366,                 1.7436,                 1.2544,                0.86481,             0.00023553,             0.00023553,             0.00023553
                     27,                 1.2356,                 1.5931,                 1.0718,                0.86446,                0.56137,                0.36292,                0.39212,                0.27368,                0.56698,                0.30688,                0.32953,                0.20582,                   1.36,                 1.9033,                 1.2058,                0.86416,             0.00023243,             0.00023243,             0.00023243
                     28,                  1.193,                 1.5577,                 1.0388,                0.86317,                0.58123,                0.36297,                 0.4086,                0.28594,                0.63825,                0.31389,                0.35585,                0.21741,                 1.3291,                 1.6735,                 1.1824,                0.86098,             0.00022934,             0.00022934,             0.00022934
                     29,                 1.1815,                 1.5533,                0.99403,                0.84997,                0.67424,                0.34924,                0.41434,                0.28844,                0.69218,                0.31042,                0.34638,                0.21071,                 1.3296,                 1.7578,                 1.1896,                0.86209,             0.00022624,             0.00022624,             0.00022624
                     30,                 1.2113,                 1.5854,                 1.0116,                0.85536,                0.70037,                0.36157,                0.41265,                0.28695,                0.71067,                0.30856,                0.35068,                0.21737,                 1.3242,                 1.6748,                 1.1723,                0.86291,             0.00022314,             0.00022314,             0.00022314
                     31,                 1.1856,                 1.5593,                 1.0158,                0.85497,                0.64419,                0.39707,                0.41959,                0.28909,                0.69514,                0.33087,                0.36163,                0.22431,                 1.3057,                 1.6576,                 1.1511,                0.86167,             0.00022004,             0.00022004,             0.00022004
                     32,                 1.2188,                 1.6377,                 1.0097,                0.86255,                0.55297,                0.39285,                 0.4133,                0.29089,                0.64689,                 0.3408,                0.35815,                0.22372,                 1.3102,                 1.6974,                 1.1687,                0.86189,             0.00021694,             0.00021694,             0.00021694
                     33,                  1.167,                 1.5053,                0.95732,                0.84883,                0.56561,                0.39969,                0.42375,                0.29924,                0.56973,                0.35602,                0.36271,                0.22625,                 1.2813,                 1.6082,                 1.1825,                 0.8594,             0.00021384,             0.00021384,             0.00021384
                     34,                 1.1699,                 1.4761,                0.94924,                0.84156,                0.65435,                0.40135,                0.42348,                0.29044,                 0.6299,                0.34458,                0.36033,                0.21706,                 1.3245,                 1.7021,                 1.1521,                0.86353,             0.00021074,             0.00021074,             0.00021074
                     35,                 1.1853,                 1.4981,                0.97933,                0.85588,                0.63814,                0.39768,                0.42736,                0.30166,                0.58637,                0.36582,                0.37191,                0.23134,                 1.2964,                 1.6496,                 1.1165,                0.85998,             0.00020764,             0.00020764,             0.00020764
                     36,                 1.1935,                 1.5026,                0.93197,                0.84397,                0.67048,                0.39404,                0.42799,                0.30738,                0.62665,                0.34034,                 0.3635,                0.23067,                 1.2597,                 1.6252,                 1.1112,                0.85443,             0.00020455,             0.00020455,             0.00020455
                     37,                 1.1348,                 1.4967,                0.91559,                0.84946,                0.66819,                0.40151,                0.42659,                0.29963,                0.66051,                0.34512,                0.36315,                0.22092,                 1.2746,                 1.7034,                 1.1182,                0.85418,             0.00020145,             0.00020145,             0.00020145
