                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.74513,                0.92955,                0.50403,                0.94025,                0.83826,                0.77097,                0.80947,                0.67309,                0.82438,                0.76467,                0.79801,                0.61359,                0.72658,                0.88794,                 0.4422,                0.91904,             0.00023863,             0.00023863,             0.00023863
                     26,                0.74423,                0.91982,                0.49839,                0.93882,                0.90678,                0.72904,                 0.8216,                0.67763,                0.90664,                0.72273,                0.81185,                0.61451,                0.72814,                0.91249,                0.44416,                0.92681,             0.00023553,             0.00023553,             0.00023553
                     27,                0.74561,                0.92642,                0.50062,                 0.9383,                0.89418,                0.75414,                0.83225,                 0.6925,                0.89002,                0.74954,                0.83061,                0.63366,                 0.7257,                0.88901,                0.43943,                0.91021,             0.00023243,             0.00023243,             0.00023243
                     28,                 0.7388,                0.92655,                0.48923,                0.93593,                0.91462,                0.76772,                0.84251,                0.69767,                0.90936,                0.76649,                0.84092,                0.63997,                0.71876,                0.88799,                0.43012,                0.91324,             0.00022934,             0.00022934,             0.00022934
                     29,                0.73314,                0.90623,                0.47769,                 0.9332,                0.83615,                 0.7694,                0.82472,                0.69816,                 0.9184,                0.72037,                0.82461,                0.63999,                 0.7144,                0.88286,                0.43515,                0.90998,             0.00022624,             0.00022624,             0.00022624
                     30,                0.72879,                0.91171,                0.48216,                0.93111,                0.91052,                0.75101,                0.85775,                0.71851,                0.90733,                0.74694,                 0.8552,                0.65952,                0.70804,                0.87413,                0.42759,                0.91281,             0.00022314,             0.00022314,             0.00022314
                     31,                0.72238,                0.90103,                0.47365,                0.92833,                0.92335,                0.73869,                0.83559,                0.70939,                0.88476,                0.73426,                0.82709,                0.64513,                 0.7017,                0.87448,                0.42438,                0.90573,             0.00022004,             0.00022004,             0.00022004
                     32,                0.71704,                0.88809,                0.46854,                0.92498,                0.93295,                0.74791,                0.83401,                0.69698,                0.93086,                0.74391,                0.83312,                0.64358,                0.70421,                0.87562,                 0.4247,                0.90546,             0.00021694,             0.00021694,             0.00021694
                     33,                0.71941,                 0.8948,                 0.4673,                0.92625,                0.92456,                0.76132,                0.84424,                0.71023,                0.91942,                0.75857,                0.84424,                0.64563,                0.70307,                0.86267,                0.42031,                0.90906,             0.00021384,             0.00021384,             0.00021384
                     34,                0.71379,                0.87711,                0.45995,                0.92681,                0.91894,                0.75891,                0.84179,                0.71089,                0.91437,                 0.7544,                0.83955,                0.65168,                0.69919,                0.88116,                  0.416,                0.90239,             0.00021074,             0.00021074,             0.00021074
                     35,                0.70856,                 0.8761,                0.45909,                0.92314,                0.90154,                0.80596,                   0.87,                   0.74,                 0.8904,                0.81079,                0.86959,                0.68709,                0.69345,                  0.872,                0.41034,                0.90113,             0.00020764,             0.00020764,             0.00020764
                     36,                0.70705,                0.87999,                0.44695,                0.92226,                0.90656,                0.78474,                0.84972,                0.72038,                0.90381,                0.78382,                0.84924,                0.66841,                0.69613,                 0.8673,                0.40768,                0.90189,             0.00020455,             0.00020455,             0.00020455
                     37,                0.69817,                 0.8715,                 0.4472,                0.92004,                0.88961,                0.79246,                0.86611,                0.73629,                0.89011,                0.78923,                0.85511,                0.66769,                0.69037,                0.86625,                0.40697,                0.90153,             0.00020145,             0.00020145,             0.00020145
                     38,                0.70013,                0.86986,                0.44049,                0.91937,                0.90983,                0.78673,                0.87136,                0.73625,                0.90567,                0.78327,                0.86595,                0.67261,                 0.6899,                0.86347,                0.40021,                0.89868,             0.00019835,             0.00019835,             0.00019835
