                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.76952,                0.96895,                0.53763,                0.94609,                0.88009,                0.72101,                0.79088,                0.64797,                 0.8771,                0.72133,                0.79025,                0.59747,                0.74202,                0.91025,                0.46654,                0.92727,             0.00023863,             0.00023863,             0.00023863
                     26,                0.76487,                0.95183,                0.52782,                0.94239,                0.92254,                0.72304,                0.79785,                0.66035,                0.92204,                0.72219,                0.79005,                0.60406,                0.74625,                0.91879,                0.45893,                0.93117,             0.00023553,             0.00023553,             0.00023553
                     27,                0.75974,                0.95429,                0.51995,                0.94086,                0.88146,                0.71479,                0.78552,                0.65189,                0.88208,                0.71451,                0.77952,                0.59177,                0.73527,                0.88918,                0.45167,                0.92662,             0.00023243,             0.00023243,             0.00023243
                     28,                0.75703,                0.94979,                0.51614,                0.94255,                0.89852,                0.74272,                0.79746,                0.66314,                0.92512,                0.71964,                0.79275,                0.60739,                0.72664,                0.90434,                0.44461,                 0.9245,             0.00022934,             0.00022934,             0.00022934
                     29,                0.75397,                0.93197,                0.51344,                0.94138,                0.91103,                0.72636,                0.80486,                 0.6627,                0.90918,                0.72476,                0.79842,                0.59954,                0.73095,                0.91594,                 0.4499,                0.92774,             0.00022624,             0.00022624,             0.00022624
                     30,                0.74448,                 0.9372,                0.50507,                0.93675,                0.92294,                0.71889,                0.80024,                0.66766,                0.92142,                0.71739,                0.79299,                0.60491,                0.73283,                0.91245,                0.43898,                0.91372,             0.00022314,             0.00022314,             0.00022314
                     31,                 0.7403,                0.93047,                0.49641,                0.93307,                0.91358,                0.72745,                 0.8141,                0.67251,                0.91328,                0.72311,                0.81008,                 0.6042,                0.74565,                0.90511,                0.44533,                0.92021,             0.00022004,             0.00022004,             0.00022004
                     32,                0.74152,                0.92562,                0.49417,                0.93439,                0.90834,                0.72675,                0.80886,                0.67068,                0.90953,                0.72437,                0.80146,                0.59847,                0.72475,                0.88553,                0.43949,                 0.9135,             0.00021694,             0.00021694,             0.00021694
                     33,                0.73551,                0.92383,                0.48676,                0.93153,                0.83835,                0.75176,                0.81347,                0.67722,                0.83377,                0.75084,                0.80755,                0.62105,                0.71438,                0.87916,                 0.4309,                 0.9169,             0.00021384,             0.00021384,             0.00021384
                     34,                 0.7293,                0.90714,                0.48397,                0.93036,                0.92504,                0.74842,                0.84056,                0.69488,                 0.9092,                0.76191,                0.83574,                0.62909,                0.71752,                0.89126,                0.42424,                0.92134,             0.00021074,             0.00021074,             0.00021074
                     35,                0.72678,                0.91406,                0.47962,                0.93043,                0.86692,                0.79367,                0.83339,                0.69238,                0.86156,                0.78917,                0.82488,                0.62294,                0.71364,                0.88295,                0.41609,                0.91841,             0.00020764,             0.00020764,             0.00020764
                     36,                0.72185,                0.90389,                0.47045,                0.92679,                0.82433,                0.79058,                0.83103,                0.69499,                0.81548,                0.78548,                0.82457,                0.62716,                0.71027,                0.88299,                0.42121,                0.91362,             0.00020455,             0.00020455,             0.00020455
                     37,                 0.7234,                0.90022,                0.46816,                0.92553,                0.87718,                0.76982,                0.82666,                0.68965,                0.87427,                0.76706,                0.81943,                0.62206,                0.71339,                0.88875,                0.41742,                0.91459,             0.00020145,             0.00020145,             0.00020145
                     38,                0.72049,                0.89489,                  0.454,                0.92219,                0.88253,                0.78431,                0.83973,                0.71302,                0.87983,                0.78168,                 0.8337,                0.63919,                0.70863,                 0.8815,                0.41005,                0.90936,             0.00019835,             0.00019835,             0.00019835
                     39,                0.71096,                0.88783,                0.45596,                0.92271,                0.93711,                 0.7521,                0.84876,                0.70932,                0.93562,                0.74441,                0.83335,                0.63611,                0.70704,                0.87427,                0.41169,                0.91184,             0.00019525,             0.00019525,             0.00019525
